time,farm,x,y,cell_i,cell_j
125.02,3,-13.351,12.056,8,10
125.09,3,-13.302,12.058,8,10
125.12,3,-13.308,12.078,8,10
125.15,3,-13.335,12.055,8,10
126.08,3,-13.328,11.917,8,9
126.11,3,-13.275,11.898,8,9
126.18,3,-13.197,11.809,8,9
126.18,3,-13.331,11.872,8,9
127.01,3,-13.325,11.633,8,9
127.04,3,-13.432,11.695,8,9
127.17,3,-13.342,11.623,8,9
128.00,3,-13.384,11.478,8,9
128.00,3,-13.300,11.416,8,9
128.10,3,-13.405,11.368,8,9
128.16,3,-13.451,11.397,8,9
128.16,3,-13.428,11.300,8,9
128.16,3,-13.413,11.248,8,9
128.19,3,-13.322,11.455,8,9
128.19,3,-13.340,11.328,8,9
128.19,3,-13.397,11.236,8,9
129.02,3,-13.459,11.174,8,9
129.06,3,-13.443,11.248,8,9
129.09,3,-13.430,11.168,8,9
129.12,3,-13.371,11.175,8,9
129.12,3,-13.414,11.095,8,9
129.15,3,-13.447,11.199,8,9
129.15,3,-13.332,11.094,8,9
130.05,3,-13.531,10.940,8,8
130.05,3,-13.529,10.897,8,8
130.08,3,-13.567,11.027,8,9
130.08,3,-13.565,10.948,8,8
130.11,3,-13.546,11.015,8,9
130.11,3,-13.592,10.981,8,8
130.11,3,-13.463,11.010,8,9
130.14,3,-13.494,10.916,8,8
130.14,3,-13.576,10.951,8,8
130.18,3,-13.426,10.913,8,8
130.18,3,-13.521,10.964,8,8
131.01,3,-13.646,10.740,8,8
131.04,3,-13.590,10.805,8,8
131.07,3,-13.597,10.811,8,8
131.07,3,-13.553,10.714,8,8
131.10,3,-13.612,10.729,8,8
131.14,3,-13.600,10.782,8,8
132.00,3,-13.748,10.641,8,8
132.00,3,-13.673,10.580,8,8
132.03,3,-13.754,10.596,8,8
132.06,3,-13.687,10.615,8,8
132.10,3,-13.690,10.677,8,8
132.10,3,-13.686,10.582,8,8
132.13,3,-13.705,10.617,8,8
132.19,3,-13.649,10.613,8,8
635.07,3,-13.613,9.873,8,7
