wind_ms,farm,mission_time_s,unique_pests,replans,crash,found_frac
0.0,1,300.0,0,109,1,0.0
0.0,1,300.03,0,109,1,0.0
0.0,1,300.06,0,109,1,0.0
0.0,1,300.1,0,109,1,0.0
0.0,1,300.13,0,109,1,0.0
0.0,1,300.16,0,109,1,0.0
0.0,1,300.19,0,109,1,0.0
0.0,1,300.22,0,109,1,0.0
0.0,1,300.26,0,109,1,0.0
0.0,1,300.29,0,109,1,0.0
0.0,1,300.32,0,109,1,0.0
0.0,1,300.35,0,109,1,0.0
0.0,1,300.38,0,109,1,0.0
0.0,1,300.42,0,109,1,0.0
0.0,1,300.45,0,109,1,0.0
0.0,1,300.48,0,109,1,0.0
0.0,1,300.51,0,109,1,0.0
0.0,1,300.54,0,109,1,0.0
0.0,1,300.58,0,109,1,0.0
0.0,1,300.61,0,109,1,0.0
0.0,1,300.64,0,109,1,0.0
0.0,1,300.67,0,109,1,0.0
0.0,1,300.7,0,109,1,0.0
0.0,1,300.74,0,109,1,0.0
0.0,1,300.77,0,109,1,0.0
0.0,1,300.8,0,109,1,0.0
0.0,1,300.83,0,109,1,0.0
0.0,1,300.86,0,109,1,0.0
0.0,1,300.9,0,109,1,0.0
0.0,1,300.93,0,109,1,0.0
0.0,1,300.96,0,109,1,0.0
0.0,1,300.99,0,109,1,0.0
0.0,1,301.02,0,109,1,0.0
0.0,1,301.06,0,109,1,0.0
0.0,1,301.09,0,109,1,0.0
0.0,1,301.12,0,109,1,0.0
0.0,1,301.15,0,109,1,0.0
0.0,1,301.18,0,109,1,0.0
0.0,1,301.22,0,109,1,0.0
0.0,1,301.25,0,109,1,0.0
0.0,1,301.28,0,109,1,0.0
0.0,1,301.31,0,109,1,0.0
0.0,1,301.34,0,109,1,0.0
0.0,1,301.38,0,109,1,0.0
0.0,1,301.41,0,109,1,0.0
0.0,1,301.44,0,109,1,0.0
0.0,1,301.47,0,109,1,0.0
0.0,1,301.5,0,109,1,0.0
0.0,1,301.54,0,109,1,0.0
0.0,1,301.57,0,109,1,0.0
0.0,1,301.6,0,109,1,0.0
0.0,1,301.63,0,109,1,0.0
0.0,1,301.66,0,109,1,0.0
0.0,1,301.7,0,109,1,0.0
0.0,1,301.73,0,109,1,0.0
0.0,1,301.76,0,109,1,0.0
0.0,1,301.79,0,109,1,0.0
0.0,1,301.82,0,109,1,0.0
0.0,1,301.86,0,109,1,0.0
0.0,1,301.89,0,109,1,0.0
0.0,1,301.92,0,109,1,0.0
0.0,1,301.95,0,109,1,0.0
0.0,1,301.98,0,109,1,0.0
0.0,1,302.02,0,109,1,0.0
0.0,1,302.05,0,109,1,0.0
0.0,1,302.08,0,109,1,0.0
0.0,1,302.11,0,109,1,0.0
0.0,1,302.14,0,109,1,0.0
0.0,1,302.18,0,109,1,0.0
0.0,1,302.21,0,109,1,0.0
0.0,1,302.24,0,109,1,0.0
0.0,1,302.27,0,109,1,0.0
0.0,1,302.3,0,109,1,0.0
0.0,1,302.34,0,109,1,0.0
0.0,1,302.37,0,109,1,0.0
0.0,1,302.4,0,109,1,0.0
0.0,1,302.43,0,109,1,0.0
0.0,1,302.46,0,109,1,0.0
0.0,1,302.5,0,109,1,0.0
0.0,1,302.53,0,109,1,0.0
0.0,1,302.56,0,109,1,0.0
0.0,1,302.59,0,109,1,0.0
0.0,1,302.62,0,109,1,0.0
0.0,1,302.66,0,109,1,0.0
0.0,1,302.69,0,109,1,0.0
0.0,1,302.72,0,109,1,0.0
0.0,1,302.75,0,109,1,0.0
0.0,1,302.78,0,109,1,0.0
0.0,1,302.82,0,109,1,0.0
0.0,1,302.85,0,109,1,0.0
0.0,1,302.88,0,109,1,0.0
0.0,1,302.91,0,109,1,0.0
0.0,1,302.94,0,109,1,0.0
0.0,1,302.98,0,109,1,0.0
0.0,1,303.01,0,109,1,0.0
0.0,1,303.04,0,109,1,0.0
0.0,1,303.07,0,109,1,0.0
0.0,1,303.1,0,109,1,0.0
0.0,1,303.14,0,109,1,0.0
0.0,1,303.17,0,109,1,0.0
0.0,1,303.2,0,109,1,0.0
0.0,1,303.23,0,109,1,0.0
0.0,1,303.26,0,109,1,0.0
0.0,1,303.3,0,109,1,0.0
0.0,1,303.33,0,109,1,0.0
0.0,1,303.36,0,109,1,0.0
0.0,1,303.39,0,109,1,0.0
0.0,1,303.42,0,109,1,0.0
0.0,1,303.46,0,109,1,0.0
0.0,1,303.49,0,109,1,0.0
0.0,1,303.52,0,109,1,0.0
